account_id,customer_id,account_type,account_status,open_date,close_date,current_balance,available_balance,credit_limit,interest_rate,branch_id,officer_id,last_activity_date,first_name,last_name,ssn_hash,date_of_birth,customer_segment,risk_rating,region_code,primary_email,phone_number,acct_age_months,days_inactive,utilization_pct,dormancy_flag,high_balance_flag,snapshot_date,load_timestamp
A00000029,C0000017,CHK,A,2013-08-25,,72.49,44.45,0,0.001,B017,O0096,2024-01-31,Thomas,Brown,23b4f7677e20fe05aa25c23574056871,1984-07-17,PREM,3,SE,thomas.brown17@example.com,555-648-7046,125,0,,N,N,2024-01-31,2026-09-18 19:12:03
A00000030,C0000017,SAV,D,2021-09-12,,889.92,782.3,0,0.0288,B040,O0073,2024-01-22,Thomas,Brown,23b4f7677e20fe05aa25c23574056871,1984-07-17,PREM,3,SE,thomas.brown17@example.com,555-648-7046,28,9,,N,N,2024-01-31,2026-09-18 19:12:03
A00000031,C0000018,CHK,A,2022-04-04,,98916.75,98716.39,0,0.0009,B023,O0037,2024-01-08,Kevin,Taylor,12452250d84031343ce2bae2d50a9264,1976-01-22,RET,1,MW,kevin.taylor18@example.com,555-489-7815,21,23,,N,N,2024-01-31,2026-09-18 19:12:03
A00000032,C0000018,CHK,A,2010-09-09,,1021.52,772.07,0,0.001,B016,O0028,2024-01-26,Kevin,Taylor,12452250d84031343ce2bae2d50a9264,1976-01-22,RET,1,MW,kevin.taylor18@example.com,555-489-7815,160,5,,N,N,2024-01-31,2026-09-18 19:12:03
A00000033,C0000018,AUTO,A,2015-04-16,,40503.4,40377.49,0,0.0801,B013,O0030,2023-10-06,Kevin,Taylor,12452250d84031343ce2bae2d50a9264,1976-01-22,RET,1,MW,kevin.taylor18@example.com,555-489-7815,105,117,,N,N,2024-01-31,2026-09-18 19:12:03
A00000034,C0000018,SAV,A,2010-11-12,,152004.63,151964.69,0,0.0345,B018,O0101,2024-01-26,Kevin,Taylor,12452250d84031343ce2bae2d50a9264,1976-01-22,RET,1,MW,kevin.taylor18@example.com,555-489-7815,158,5,,N,N,2024-01-31,2026-09-18 19:12:03
A00000035,C0000019,AUTO,A,2016-01-10,,33340.88,33211.35,0,0.0736,B008,O0012,2024-01-22,Michael,Harris,5937cc5b0d8f454d843e6afea09d6d4a,1948-01-22,PB,3,NW,michael.harris19@example.com,555-245-0881,96,9,,N,N,2024-01-31,2026-09-18 19:12:03
A00000036,C0000019,MTG,A,2021-04-04,,309131.92,309121.32,0,0.0609,B014,O0070,2024-01-31,Michael,Harris,5937cc5b0d8f454d843e6afea09d6d4a,1948-01-22,PB,3,NW,michael.harris19@example.com,555-245-0881,33,0,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000037,C0000020,CHK,A,2009-06-03,,3794,3728.3,0,0.0011,B026,O0002,2024-01-18,Mary,Walker,d73f57565c3246a520ec1dd8a8004115,1988-05-10,RET,2,MW,mary.walker20@example.com,555-889-0336,175,13,,N,N,2024-01-31,2026-09-18 19:12:03
A00000038,C0000021,CD,P,2019-07-21,,86741.1,86640.84,0,0.0506,B009,O0094,2024-01-27,Sandra,Taylor,ae3758d2d69a7f5f381e66ff1d8b6089,1963-02-15,RET,6,SE,sandra.taylor21@example.com,555-243-0463,54,4,,N,N,2024-01-31,2026-09-18 19:12:03
A00000039,C0000022,CHK,A,2011-08-15,,2913.01,2836.65,0,0.0009,B019,O0034,2024-01-30,Thomas,Johnson,11ac15f4bb846c9078d70afb49aef2f6,1951-01-13,RET,1,SE,thomas.johnson22@example.com,555-783-3140,149,1,,N,N,2024-01-31,2026-09-18 19:12:03
A00000040,C0000023,CHK,A,2007-11-16,,13036.63,12788.88,0,0.0011,B021,O0071,2023-06-20,Mark,Hernandez,61f56f85e0bbc755ffbf7d42499bbcfa,1992-12-28,RET,2,NE,mark.hernandez23@example.com,555-568-9429,194,225,,N,N,2024-01-31,2026-09-18 19:12:03
A00000041,C0000024,AUTO,S,2014-12-20,,47334.35,47143.58,0,0.0726,B012,O0089,2024-01-28,Sandra,Hall,d5c7be7028f8dbc9c64ceb9a6635ce88,1968-09-11,RET,6,W,sandra.hall24@example.com,555-694-4172,109,3,,N,N,2024-01-31,2026-09-18 19:12:03
A00000042,C0000024,CC,A,2010-10-21,,5639.76,4360.24,10000,0.2182,B017,O0015,2023-10-11,Sandra,Hall,d5c7be7028f8dbc9c64ceb9a6635ce88,1968-09-11,RET,6,W,sandra.hall24@example.com,555-694-4172,159,112,56.3976,N,N,2024-01-31,2026-09-18 19:12:03
A00000043,C0000024,CHK,A,2015-05-02,,1168.46,977.4,0,0.001,B009,O0075,2024-01-27,Sandra,Hall,d5c7be7028f8dbc9c64ceb9a6635ce88,1968-09-11,RET,6,W,sandra.hall24@example.com,555-694-4172,104,4,,N,N,2024-01-31,2026-09-18 19:12:03
A00000044,C0000024,IRA,A,2016-07-05,,210152.84,209982.77,0,0.046,B019,O0041,2023-03-04,Sandra,Hall,d5c7be7028f8dbc9c64ceb9a6635ce88,1968-09-11,RET,6,W,sandra.hall24@example.com,555-694-4172,90,333,,N,N,2024-01-31,2026-09-18 19:12:03
A00000045,C0000025,LOC,P,2011-01-31,,58527.67,41472.33,100000,0.1023,B033,O0038,2024-01-30,Daniel,Smith,8036bd2814280b5800aabf8969c5b262,1999-04-03,RET,4,MW,daniel.smith25@example.com,555-625-4072,156,1,58.52767,N,N,2024-01-31,2026-09-18 19:12:03
A00000046,C0000026,CHK,A,2007-08-10,,5288.84,5188.7,0,0.0009,B009,O0062,2024-01-31,Betty,Green,2b6fff4c29a3cfff753bccd9a060967a,1983-04-26,RET,2,NW,betty.green26@example.com,555-783-1723,197,0,,N,N,2024-01-31,2026-09-18 19:12:03
A00000047,C0000026,MTG,A,2018-12-16,,132118.72,132068.52,0,0.0691,B013,O0008,2024-01-22,Betty,Green,2b6fff4c29a3cfff753bccd9a060967a,1983-04-26,RET,2,NW,betty.green26@example.com,555-783-1723,61,9,,N,N,2024-01-31,2026-09-18 19:12:03
A00000048,C0000026,SAV,A,2019-11-29,,1379.74,1188.58,0,0.0333,B017,O0077,2024-01-25,Betty,Green,2b6fff4c29a3cfff753bccd9a060967a,1983-04-26,RET,2,NW,betty.green26@example.com,555-783-1723,50,6,,N,N,2024-01-31,2026-09-18 19:12:03
A00000049,C0000027,MTG,A,2019-05-07,,542753.55,542652.08,0,0.0684,B040,O0030,2024-01-18,Ronald,Hernandez,53232eb3a2a2f7c364268f9822ed4b01,1973-05-05,PREM,4,SE,ronald.hernandez27@example.com,555-531-4835,56,13,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000050,C0000027,CC,A,2007-03-31,,5052.66,4947.34,10000,0.2337,B015,O0063,2024-01-19,Ronald,Hernandez,53232eb3a2a2f7c364268f9822ed4b01,1973-05-05,PREM,4,SE,ronald.hernandez27@example.com,555-531-4835,202,12,50.5266,N,N,2024-01-31,2026-09-18 19:12:03
A00000051,C0000027,SAV,A,2011-08-23,,2281.94,2047.39,0,0.0361,B012,O0067,2023-10-08,Ronald,Hernandez,53232eb3a2a2f7c364268f9822ed4b01,1973-05-05,PREM,4,SE,ronald.hernandez27@example.com,555-531-4835,149,115,,N,N,2024-01-31,2026-09-18 19:12:03
A00000052,C0000028,AUTO,A,2019-09-11,,32871.53,32704.5,0,0.0886,B018,O0055,2024-01-22,James,Adams,6a6de838879908a58be8489f706bbde2,2002-12-13,PREM,5,NW,james.adams28@example.com,555-424-1770,52,9,,N,N,2024-01-31,2026-09-18 19:12:03
A00000053,C0000028,MTG,A,2011-07-30,,492287.19,492262.18,0,0.0725,B011,O0069,2024-01-18,James,Adams,6a6de838879908a58be8489f706bbde2,2002-12-13,PREM,5,NW,james.adams28@example.com,555-424-1770,150,13,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000054,C0000028,CC,A,2018-04-21,,3865.5,3634.5,7500,0.2309,B047,O0014,2024-01-23,James,Adams,6a6de838879908a58be8489f706bbde2,2002-12-13,PREM,5,NW,james.adams28@example.com,555-424-1770,69,8,51.54,N,N,2024-01-31,2026-09-18 19:12:03
A00000055,C0000029,CC,A,2017-01-07,,5691.97,4308.03,10000,0.2372,B022,O0117,2021-11-29,Sarah,Young,d98562086601522393faf0f4265cc468,2000-08-02,PB,4,NW,sarah.young29@example.com,555-232-6035,84,793,56.9197,Y,N,2024-01-31,2026-09-18 19:12:03
A00000056,C0000030,HELC,R,2020-04-25,,30522.95,44477.05,75000,0.081,B006,O0110,2023-07-08,Robert,Campbell,66972497f4eef7bfa0d96fd6394f658e,1955-11-25,RET,2,NE,robert.campbell30@example.com,555-462-9450,45,207,40.697266667,N,N,2024-01-31,2026-09-18 19:12:03
A00000057,C0000030,CC,A,2017-06-19,,6377.04,8622.96,15000,0.2318,B048,O0041,2024-01-24,Robert,Campbell,66972497f4eef7bfa0d96fd6394f658e,1955-11-25,RET,2,NE,robert.campbell30@example.com,555-462-9450,79,7,42.5136,N,N,2024-01-31,2026-09-18 19:12:03
A00000058,C0000031,CC,A,2009-08-19,,4454.81,5545.19,10000,0.2201,B022,O0063,2024-01-22,Jennifer,Miller,5cf4ff814b2860356166f08d7d277e62,2003-01-01,COMM,5,W,jennifer.miller31@example.com,555-779-3143,173,9,44.5481,N,N,2024-01-31,2026-09-18 19:12:03
A00000059,C0000031,HELC,A,2021-04-10,,40979.73,59020.27,100000,0.0933,B018,O0113,2023-12-19,Jennifer,Miller,5cf4ff814b2860356166f08d7d277e62,2003-01-01,COMM,5,W,jennifer.miller31@example.com,555-779-3143,33,43,40.97973,N,N,2024-01-31,2026-09-18 19:12:03
A00000060,C0000032,CHK,A,2010-02-25,,2118.96,2096.71,0,0.001,B034,O0048,2023-12-24,Richard,Sanchez,97b2da91c1ba71cabd6f3dcaa113065e,1952-10-18,CORP,1,NW,richard.sanchez32@example.com,555-498-6743,167,38,,N,N,2024-01-31,2026-09-18 19:12:03
A00000061,C0000033,CC,A,2017-08-29,,1926.06,5573.94,7500,0.2315,B023,O0094,2024-01-29,Anthony,Rodriguez,a8b397b18f330afaa1c158e98514f89e,2001-01-01,PREM,2,SW,anthony.rodriguez33@example.com,555-634-3181,77,2,25.6808,N,N,2024-01-31,2026-09-18 19:12:03
A00000062,C0000034,MMA,A,2022-01-30,,89450.2,89234.35,0,0.0368,B024,O0019,2024-01-18,Susan,Carter,429c6f6789fae01f7208a1421bffc898,1961-06-16,RET,4,SE,susan.carter34@example.com,555-325-2865,24,13,,N,N,2024-01-31,2026-09-18 19:12:03
A00000063,C0000034,MTG,A,2020-02-14,,502286.75,502056.31,0,0.0719,B024,O0060,2024-01-21,Susan,Carter,429c6f6789fae01f7208a1421bffc898,1961-06-16,RET,4,SE,susan.carter34@example.com,555-325-2865,47,10,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000064,C0000034,IRA,A,2023-11-29,,29272.95,29169.61,0,0.0429,B015,O0031,2024-01-24,Susan,Carter,429c6f6789fae01f7208a1421bffc898,1961-06-16,RET,4,SE,susan.carter34@example.com,555-325-2865,2,7,,N,N,2024-01-31,2026-09-18 19:12:03
A00000065,C0000035,CHK,A,2015-12-03,,2758.31,2592.08,0,0.001,B003,O0013,2024-01-20,Margaret,Martinez,878f51193b1e978dab8e3588436bc52b,1962-11-29,RET,4,SE,margaret.martinez35@example.com,555-302-1411,97,11,,N,N,2024-01-31,2026-09-18 19:12:03
A00000066,C0000036,MTG,A,2010-06-09,,798090.77,797852.69,0,0.0697,B046,O0018,2021-11-20,John,Flores,649c40151e00b41609d3283f98723c91,1969-01-26,RET,6,SE,john.flores36@example.com,555-479-8366,163,802,,Y,Y,2024-01-31,2026-09-18 19:12:03
A00000067,C0000036,AUTO,A,2010-01-23,,40771.05,40703.34,0,0.0793,B019,O0014,2024-01-23,John,Flores,649c40151e00b41609d3283f98723c91,1969-01-26,RET,6,SE,john.flores36@example.com,555-479-8366,168,8,,N,N,2024-01-31,2026-09-18 19:12:03
A00000068,C0000036,CHK,A,2019-09-20,,14053.53,13925.23,0,0.001,B015,O0057,2024-01-21,John,Flores,649c40151e00b41609d3283f98723c91,1969-01-26,RET,6,SE,john.flores36@example.com,555-479-8366,52,10,,N,N,2024-01-31,2026-09-18 19:12:03
A00000069,C0000037,SAV,A,2014-06-17,,5664.88,5617.06,0,0.0313,B027,O0027,2023-10-08,Anthony,Scott,c1ab2614277d61049d8532c711b3141b,1949-08-15,SMB,4,NE,anthony.scott37@example.com,555-239-2287,115,115,,N,N,2024-01-31,2026-09-18 19:12:03
A00000070,C0000038,CC,A,2020-07-25,,6153.71,3846.29,10000,0.2292,B038,O0030,2024-01-19,Barbara,Johnson,9f414f0826f074813effe875321bfb27,1978-09-17,SMB,4,NW,barbara.johnson38@example.com,555-247-5033,42,12,61.5371,N,N,2024-01-31,2026-09-18 19:12:03
A00000071,C0000039,AUTO,A,2012-09-08,,30010.29,29951.6,0,0.0888,B047,O0015,2023-08-16,Emily,Nguyen,f36d6d526ebd296e888bc6a9b3b5a4f1,1982-02-11,RET,4,SW,emily.nguyen39@example.com,555-239-7096,136,168,,N,N,2024-01-31,2026-09-18 19:12:03
A00000072,C0000040,MTG,D,2008-03-12,,392924.86,392912.88,0,0.065,B012,O0109,2023-11-12,Thomas,Lee,7bd044d3fb23d60b8306595f39c10c5f,1968-11-14,PB,7,W,thomas.lee40@example.com,555-674-9846,190,80,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000074,C0000041,CHK,F,2020-05-23,,33687.82,33610.14,0,0.0011,B009,O0119,2024-01-22,Amanda,Green,606d982e9a3e278be6dac06cd653d94e,1992-10-13,RET,2,SE,amanda.green41@example.com,555-577-8060,44,9,,N,N,2024-01-31,2026-09-18 19:12:03
A00000075,C0000041,CD,A,2018-01-09,,42916.44,42751.74,0,0.0452,B002,O0109,2023-12-28,Amanda,Green,606d982e9a3e278be6dac06cd653d94e,1992-10-13,RET,2,SE,amanda.green41@example.com,555-577-8060,72,34,,N,N,2024-01-31,2026-09-18 19:12:03
A00000076,C0000042,AUTO,A,2019-09-15,,44212.93,44165.35,0,0.0886,B030,O0118,2024-01-23,Deborah,Wilson,e5b23171e4efcb800e22a4a34f8e807a,1963-06-12,RET,3,NW,deborah.wilson42@example.com,555-667-9918,52,8,,N,N,2024-01-31,2026-09-18 19:12:03
A00000077,C0000042,IRA,A,2010-06-15,,79624.67,79573.72,0,0.0443,B043,O0096,2024-01-30,Deborah,Wilson,e5b23171e4efcb800e22a4a34f8e807a,1963-06-12,RET,3,NW,deborah.wilson42@example.com,555-667-9918,163,1,,N,N,2024-01-31,2026-09-18 19:12:03
A00000078,C0000043,MTG,S,2020-09-05,,331139.4,331086.73,0,0.0679,B001,O0088,2024-01-27,Daniel,Jackson,f9971471ea41294c9fbde5fb44f3437e,1998-10-28,RET,5,NW,daniel.jackson43@example.com,555-849-6759,40,4,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000079,C0000043,CC,A,2018-06-27,,1805.68,5694.32,7500,0.2027,B003,O0045,2024-01-21,Daniel,Jackson,f9971471ea41294c9fbde5fb44f3437e,1998-10-28,RET,5,NW,daniel.jackson43@example.com,555-849-6759,67,10,24.075733333,N,N,2024-01-31,2026-09-18 19:12:03
A00000080,C0000044,SAV,A,2014-09-16,,3283.33,3269.35,0,0.0314,B025,O0048,2023-10-16,Dorothy,Garcia,e3c590c1936d051cc4e9f5d58b207f83,1966-03-22,RET,4,NW,dorothy.garcia44@example.com,555-483-5338,112,107,,N,N,2024-01-31,2026-09-18 19:12:03
A00000081,C0000045,SAV,A,2020-03-28,,2771.61,2739.66,0,0.0363,B024,O0095,2024-01-25,Betty,Nelson,7218efa30c018215f403c7ec7f0c2249,1970-04-22,SMB,1,W,betty.nelson45@example.com,555-722-9767,46,6,,N,N,2024-01-31,2026-09-18 19:12:03
A00000082,C0000045,CHK,A,2007-07-11,,941.93,774.25,0,0.0009,B018,O0002,2023-10-07,Betty,Nelson,7218efa30c018215f403c7ec7f0c2249,1970-04-22,SMB,1,W,betty.nelson45@example.com,555-722-9767,198,116,,N,N,2024-01-31,2026-09-18 19:12:03
A00000083,C0000045,CHK,A,2018-02-25,,4162.21,3969.93,0,0.001,B022,O0111,2024-01-17,Betty,Nelson,7218efa30c018215f403c7ec7f0c2249,1970-04-22,SMB,1,W,betty.nelson45@example.com,555-722-9767,71,14,,N,N,2024-01-31,2026-09-18 19:12:03
A00000084,C0000045,AUTO,A,2018-09-16,,28981.25,28786.81,0,0.0779,B004,O0100,2024-01-26,Betty,Nelson,7218efa30c018215f403c7ec7f0c2249,1970-04-22,SMB,1,W,betty.nelson45@example.com,555-722-9767,64,5,,N,N,2024-01-31,2026-09-18 19:12:03
A00000085,C0000046,HELC,A,2018-06-27,,135572.14,114427.86,250000,0.0974,B023,O0014,2024-01-19,Jessica,Harris,b4f50eac3f13acbc3338cc7d6eb40fb4,1992-07-02,RET,2,SW,jessica.harris46@example.com,555-643-6767,67,12,54.228856,N,N,2024-01-31,2026-09-18 19:12:03
A00000087,C0000048,CD,A,2012-12-15,,460447.64,460229.03,0,0.0524,B031,O0043,2024-01-25,Jennifer,White,996b8e65a8f46ef23f701fee1762b504,1996-01-12,PREM,4,W,jennifer.white48@example.com,555-369-0125,133,6,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000088,C0000048,CC,A,2010-01-03,,9516.91,5483.09,15000,0.2407,B010,O0087,2023-12-18,Jennifer,White,996b8e65a8f46ef23f701fee1762b504,1996-01-12,PREM,4,W,jennifer.white48@example.com,555-369-0125,168,44,63.446066667,N,N,2024-01-31,2026-09-18 19:12:03
A00000089,C0000049,AUTO,A,2012-01-14,,6199.63,6062.9,0,0.0815,B044,O0099,2024-01-31,Kenneth,Taylor,7ab5ccc5aeb8be57b8b34af0b01756b4,1984-09-21,RET,2,NE,kenneth.taylor49@example.com,555-420-9995,144,0,,N,N,2024-01-31,2026-09-18 19:12:03
A00000090,C0000049,SAV,P,2011-08-06,,3623.04,3425.68,0,0.0356,B037,O0041,2024-01-26,Kenneth,Taylor,7ab5ccc5aeb8be57b8b34af0b01756b4,1984-09-21,RET,2,NE,kenneth.taylor49@example.com,555-420-9995,149,5,,N,N,2024-01-31,2026-09-18 19:12:03
A00000091,C0000050,LOC,R,2020-03-20,,20998.61,29001.39,50000,0.1257,B031,O0032,2024-01-31,Michael,Jackson,5520c0a09a808bcf06982a1a9addc5ae,1959-11-14,RET,5,SE,michael.jackson50@example.com,555-821-6499,46,0,41.99722,N,N,2024-01-31,2026-09-18 19:12:03
A00000092,C0000050,AUTO,A,2019-12-04,,28524.01,28407.08,0,0.0746,B022,O0100,2024-01-19,Michael,Jackson,5520c0a09a808bcf06982a1a9addc5ae,1959-11-14,RET,5,SE,michael.jackson50@example.com,555-821-6499,49,12,,N,N,2024-01-31,2026-09-18 19:12:03
A00000093,C0000051,SAV,A,2012-05-12,,-247.24,0,0,0.033,B038,O0109,2024-01-28,Dorothy,King,82703eac8ad6410dc07d11e241f5d61c,1967-11-26,PB,3,NE,dorothy.king51@example.com,555-237-0285,140,3,,N,N,2024-01-31,2026-09-18 19:12:03
A00000094,C0000051,SAV,A,2022-05-05,,24262.7,24128.31,0,0.0334,B042,O0072,2023-08-19,Dorothy,King,82703eac8ad6410dc07d11e241f5d61c,1967-11-26,PB,3,NE,dorothy.king51@example.com,555-237-0285,20,165,,N,N,2024-01-31,2026-09-18 19:12:03
